Nachname;Vorname;Strasse;Postleitzahl;Ort;Telefonnummer;Handynummer;Geburtsdatum;Email
Baumann;Daniel;Poststrasse 2;9300;Zürich;0441353442;0791826680;1971-01-19;Daniel.Baumann@yahoo.com
Marti;Laura;Hauptstrasse 78;7000;Sitten;0442441713;0795631305;1989-12-25;Laura.Marti@yahoo.com
Lehmann;Michaela;Bahnhofstrasse 43;8304;Baden;0442066085;0796649602;1970-07-06;Michaela.Lehmann@mail.com
Huber;Thomas;Birkenweg 89;8500;Winterthur;0445349037;0794552384;1969-03-24;Thomas.Huber@mail.com
Brunner;Julia;Ringstrasse 11;8304;Winterthur;0448569453;0792169562;1983-09-24;Julia.Brunner@gmail.com
Brunner;Simon;Rosenweg 23;3000;Winterthur;0443403090;0795919543;1985-01-19;Simon.Brunner@web.de
Gerber;Lena;Bahnhofstrasse 56;8050;Genf;0444648586;0794549941;1984-07-03;Lena.Gerber@yahoo.com
Brunner;Laura;Bahnhofstrasse 29;9050;Baden;0445198625;0796616369;1962-10-27;Laura.Brunner@mail.com
Sutter;Thomas;Bahnhofstrasse 69;1000;Zürich;0446677010;0798742111;1990-03-05;Thomas.Sutter@yahoo.com
Bachmann;Max;Brunnenstrasse 67;9050;Sitten;0446062912;0796785158;1981-02-16;Max.Bachmann@gmail.com
Maurer;Lena;Gartenweg 18;9100;Freiburg;0445198625;0792181625;1956-01-18;Lena.Maurer@yahoo.com
Huber;Anna;Tannenweg 6;7000;Schaffhausen;0447657653;0796290954;1993-12-30;Anna.Huber@example.com
Wenger;David;Hauptstrasse 1;8050;Lugano;0442744320;0798041878;1988-10-01;David.Wenger@yahoo.com
Brunner;Peter;Bahnhofstrasse 40;3000;St. Gallen;0445259121;0798041878;1952-05-08;Peter.Brunner@web.de
Sutter;Katja;Wiesenweg 11;9100;Bern;0442376115;0798841134;1987-04-04;Katja.Sutter@example.com
Kunz;Felix;Brunnenstrasse 32;8001;Zürich;0441025317;0795109693;1984-12-08;Felix.Kunz@mail.com
Fischer;Max;Birkenweg 21;9001;Bern;0444295640;0791129673;1991-05-03;Max.Fischer@example.com
Sutter;Thomas;Lindenweg 49;8500;St. Gallen;0442217112;0796512196;1976-07-16;Thomas.Sutter@mail.com
Keller;Daniel;Lindenweg 56;9000;Neuenburg;0447604237;0799536333;1978-04-05;Daniel.Keller@mail.com
Keller;Lena;Weidstrasse 1;6003;Lausanne;0448234304;0791668239;1954-04-05;Lena.Keller@yahoo.com
Fischer;Maria;Birkenweg 38;8400;Biel;0442066085;0797978535;1957-09-29;Maria.Fischer@example.com
Weber;Simon;Bergstrasse 49;9200;Baden;0447604237;0796512196;1956-06-04;Simon.Weber@yahoo.com
Bachmann;Kevin;Ringstrasse 84;9001;Zug;0449833678;0794012905;1968-02-07;Kevin.Bachmann@example.com
Kunz;Peter;Poststrasse 29;8304;Zürich;0446681362;0795919543;1979-09-06;Peter.Kunz@yahoo.com
Bachmann;Sophie;Feldstrasse 22;1000;Thun;0442801142;0797670330;1968-01-28;Sophie.Bachmann@yahoo.com
Marti;Kevin;Seestrasse 86;9100;Lausanne;0441651055;0795160934;1963-12-20;Kevin.Marti@gmail.com
Brunner;Markus;Weidstrasse 96;9100;Basel;0449923823;0796290954;1957-01-01;Markus.Brunner@web.de
Fischer;Michaela;Brunnenstrasse 29;8050;Schaffhausen;0448569453;0798273907;1996-07-14;Michaela.Fischer@yahoo.com
Roth;Kevin;Ringstrasse 69;9100;Bern;0443403090;0792181625;1960-01-24;Kevin.Roth@yahoo.com
Maurer;Laura;Dorfstrasse 78;8050;Solothurn;0442801142;0793269976;1958-01-15;Laura.Maurer@mail.com
Roth;Lena;Seestrasse 22;9200;Uster;0447975858;0797978535;1982-02-08;Lena.Roth@yahoo.com
Meier;Sandra;Brunnenstrasse 93;9100;Bern;0448569453;0793946715;1962-08-13;Sandra.Meier@example.com
Meier;Nina;Weidstrasse 37;8001;Lugano;0444853797;0795597697;1963-08-26;Nina.Meier@web.de
Gerber;Markus;Feldstrasse 97;8500;Solothurn;0448630394;0792915444;1999-07-20;Markus.Gerber@mail.com
Marti;Sandra;Gartenweg 9;9200;Chur;0445192456;0791282670;1988-02-08;Sandra.Marti@example.com
Huber;Maria;Birkenweg 79;3000;Thun;0445349037;0797526210;1968-11-08;Maria.Huber@web.de
Maurer;Julia;Gartenweg 66;8002;Zürich;0447043886;0798740150;1996-05-28;Julia.Maurer@yahoo.com
Huber;Lukas;Tannenweg 9;9300;Sitten;0443005313;0798273907;1989-09-07;Lukas.Huber@gmail.com
Fischer;Katja;Sonnenweg 8;3000;Schaffhausen;0441578655;0793739668;1960-08-02;Katja.Fischer@yahoo.com
Schmid;Katja;Sonnenweg 4;6003;Zug;0444648586;0795109693;1977-11-12;Katja.Schmid@web.de
Fischer;Felix;Talstrasse 94;9000;Basel;0449153006;0793741172;1991-11-24;Felix.Fischer@example.com
Steiner;Markus;Birkenweg 23;9200;Zug;0446681362;0794012905;1999-05-18;Markus.Steiner@mail.com
Wenger;Lena;Lindenweg 72;8001;Zug;0449429709;0798841134;1997-03-23;Lena.Wenger@example.com
Fischer;Daniel;Sonnenweg 74;8002;Baden;0447604237;0795160934;1960-03-14;Daniel.Fischer@mail.com
Weber;Michaela;Gartenweg 76;8304;Luzern;0441651055;0799343726;1985-07-19;Michaela.Weber@example.com
Müller;Maria;Ringstrasse 91;7000;Solothurn;0443414722;0795781113;1971-12-13;Maria.Müller@example.com
Steiner;Felix;Bergstrasse 27;9001;Luzern;0441651055;0798369565;1978-03-27;Felix.Steiner@yahoo.com
Gerber;Katja;Bahnhofstrasse 47;9200;Luzern;0448157568;0799343726;1984-08-23;Katja.Gerber@gmail.com
Kunz;Nina;Hauptstrasse 43;8050;Zug;0449800670;0793269976;1952-01-26;Nina.Kunz@mail.com
Brunner;Sandra;Ringstrasse 16;5000;Biel;0449800670;0795980038;1955-10-11;Sandra.Brunner@mail.com
Kunz;Markus;Hauptstrasse 82;6300;Zürich;0442066085;0797788905;1988-10-29;Markus.Kunz@example.com
Marti;Peter;Seestrasse 95;9200;Solothurn;0443669973;0796530765;1967-09-28;Peter.Marti@web.de
Bachmann;Anna;Wiesenweg 27;7000;Thun;0448670314;0799433022;2000-03-09;Anna.Bachmann@mail.com
Steiner;Julia;Poststrasse 44;4001;Luzern;0446807371;0792655207;1974-11-11;Julia.Steiner@mail.com
Roth;Maria;Weidstrasse 94;8304;Neuenburg;0443414722;0793475351;1955-02-17;Maria.Roth@web.de
Wenger;Nina;Ringstrasse 11;8001;Sitten;0443414722;0791282670;1981-06-28;Nina.Wenger@gmail.com
Baumann;Michaela;Dorfstrasse 4;5000;Bern;0447252363;0793954902;1951-07-19;Michaela.Baumann@example.com
Keller;Lukas;Tannenweg 68;9001;Neuenburg;0448482574;0794012905;1995-04-06;Lukas.Keller@mail.com
Huber;Kevin;Sonnenweg 4;8002;Baden;0449188966;0797526210;1976-09-08;Kevin.Huber@example.com
Marti;Simon;Tannenweg 39;8500;Solothurn;0444727326;0793954902;1963-11-20;Simon.Marti@web.de
Schmid;Michaela;Bahnhofstrasse 59;1000;St. Gallen;0448591306;0793501428;1983-04-07;Michaela.Schmid@gmail.com
Lehmann;David;Talstrasse 54;8500;Bern;0442059596;0792181625;1957-04-24;David.Lehmann@yahoo.com
Roth;Daniel;Seestrasse 47;8400;Neuenburg;0448157568;0794286787;1967-05-13;Daniel.Roth@yahoo.com
Meier;Michaela;Alpenblick 13;9001;Zug;0448157568;0799343726;1997-05-14;Michaela.Meier@web.de
Kunz;Sophie;Sonnenweg 80;8304;Thun;0449689685;0791860658;1960-09-28;Sophie.Kunz@web.de
Steiner;Laura;Poststrasse 45;8002;Lugano;0446062912;0797765114;1990-06-15;Laura.Steiner@example.com
Zürcher;Nina;Talstrasse 23;5000;Genf;0446533396;0799236745;1958-03-29;Nina.Zürcher@gmail.com
Brunner;Max;Rosenweg 82;5000;Basel;0445192456;0797765114;1991-05-11;Max.Brunner@example.com
Zürcher;Max;Poststrasse 88;9300;Solothurn;0445349037;0798027573;1990-11-17;Max.Zürcher@example.com
Zürcher;Lena;Gartenweg 70;3000;Solothurn;0448569453;0797788905;1965-03-08;Lena.Zürcher@mail.com
Steiner;Simon;Ringstrasse 66;9200;Chur;0446247475;0797670330;1951-02-12;Simon.Steiner@yahoo.com
Steiner;Sophie;Schulstrasse 76;9050;Thun;0442118266;0795919543;1991-05-04;Sophie.Steiner@gmail.com
Weber;Max;Feldstrasse 90;5000;Basel;0449153046;0799236745;1998-09-21;Max.Weber@example.com
Sutter;Nina;Rosenweg 57;5000;Sitten;0448590960;0794646901;1980-01-20;Nina.Sutter@example.com
Sutter;Lukas;Bahnhofstrasse 84;3000;Sitten;0448670314;0798551915;1965-11-04;Lukas.Sutter@gmail.com
Baumann;Sandra;Schulstrasse 7;8304;Freiburg;0446792481;0798841134;2000-03-08;Sandra.Baumann@web.de
Marti;Julia;Rosenweg 60;8400;Winterthur;0442265256;0796415432;1968-01-09;Julia.Marti@gmail.com
Zürcher;Michaela;Tannenweg 46;9100;Genf;0444446643;0796512196;1969-01-05;Michaela.Zürcher@mail.com
Müller;Simon;Bahnhofstrasse 32;3000;Lausanne;0442265256;0797788905;1973-12-20;Simon.Müller@mail.com
Kunz;Thomas;Alpenblick 2;9100;Winterthur;0442144055;0792141573;1993-09-03;Thomas.Kunz@gmail.com
Wenger;Lena;Feldstrasse 24;9050;Sitten;0442066085;0796112895;1984-07-04;Lena.Wenger@yahoo.com
Marti;Maria;Dorfstrasse 71;8500;Schaffhausen;0446569362;0794957977;1972-10-19;Maria.Marti@web.de
Steiner;Sophie;Bergstrasse 83;9400;Basel;0448234304;0793501428;1980-09-04;Sophie.Steiner@yahoo.com
Lehmann;Nina;Alpenblick 51;8400;Schaffhausen;0444633613;0793840613;1953-11-21;Nina.Lehmann@gmail.com
Marti;Markus;Wiesenweg 74;8400;Zürich;0447043886;0796616369;1982-09-24;Markus.Marti@example.com
Lehmann;Lena;Lindenweg 89;7000;Neuenburg;0449833678;0797526210;1974-06-17;Lena.Lehmann@mail.com
Kunz;Daniel;Weidstrasse 10;6003;Neuenburg;0446062912;0796512196;1971-07-06;Daniel.Kunz@yahoo.com
Huber;Thomas;Alpenblick 17;8050;Lausanne;0446424159;0797186919;1965-02-25;Thomas.Huber@example.com
Müller;Thomas;Hauptstrasse 59;8001;Uster;0442321054;0797977495;1957-12-07;Thomas.Müller@gmail.com
Wenger;Felix;Talstrasse 93;8400;Zürich;0446533396;0793711365;1950-08-15;Felix.Wenger@web.de
Roth;Julia;Tannenweg 17;9400;Solothurn;0442321054;0793840613;1955-02-20;Julia.Roth@gmail.com
Müller;Simon;Talstrasse 50;8500;Chur;0441353442;0794549941;1990-02-06;Simon.Müller@mail.com
Brunner;Katja;Lindenweg 84;5000;Solothurn;0442994435;0794549941;1997-01-18;Katja.Brunner@gmail.com
Roth;Lena;Wiesenweg 42;9000;Winterthur;0448537374;0795160934;1974-11-29;Lena.Roth@example.com
Müller;Maria;Sonnenweg 51;7000;Basel;0448590960;0798188691;1960-04-07;Maria.Müller@yahoo.com
Zürcher;Sandra;Feldstrasse 80;5000;Basel;0441651055;0796649602;1957-03-25;Sandra.Zürcher@gmail.com
Baumann;Daniel;Ringstrasse 92;8002;Baden;0442172365;0792655207;1998-07-20;Daniel.Baumann@web.de
Fischer;Lena;Weidstrasse 56;9000;Biel;0442265256;0796209489;1995-02-10;Lena.Fischer@example.com
Steiner;Anna;Alpenblick 29;1000;Winterthur;0447657653;0793501428;1988-08-21;Anna.Steiner@example.com
Maurer;Sophie;Lindenweg 88;1000;Winterthur;0448234304;0796786311;1992-09-19;Sophie.Maurer@mail.com
Lehmann;Max;Bergstrasse 69;8050;Chur;0442265256;0793840613;1977-11-29;Max.Lehmann@gmail.com
Zürcher;Michaela;Birkenweg 48;7000;Genf;0447434931;0797978535;1973-08-25;Michaela.Zürcher@gmail.com
Keller;Sandra;Hauptstrasse 72;8050;Neuenburg;0448157568;0796512196;1984-06-14;Sandra.Keller@mail.com
Keller;Laura;Lindenweg 21;9000;Zug;0447252363;0798166505;1974-01-10;Laura.Keller@mail.com
Baumann;Sophie;Dorfstrasse 57;1000;Biel;0444648586;0796052063;1961-01-05;Sophie.Baumann@yahoo.com
Meier;Sandra;Seestrasse 41;7000;Bern;0448030590;0796052063;1974-12-16;Sandra.Meier@example.com
Maurer;David;Hauptstrasse 92;9100;Lugano;0448145853;0798742111;1987-09-12;David.Maurer@example.com
Schmid;Katja;Weidstrasse 81;9400;St. Gallen;0441584559;0794826697;1964-05-15;Katja.Schmid@example.com
Kunz;David;Lindenweg 23;5000;Zürich;0448234304;0798740150;1986-10-04;David.Kunz@yahoo.com
Steiner;Nina;Hauptstrasse 30;9400;Zug;0441578655;0791860658;1993-10-03;Nina.Steiner@yahoo.com
Fischer;Lena;Brunnenstrasse 11;9400;Thun;0442144055;0794729837;1987-01-31;Lena.Fischer@yahoo.com
Brunner;Katja;Feldstrasse 75;5000;Luzern;0441578655;0791556601;2000-12-09;Katja.Brunner@mail.com
Kunz;Lukas;Weidstrasse 51;8400;Schaffhausen;0442066085;0793741172;1998-03-06;Lukas.Kunz@web.de
Baumann;Markus;Hauptstrasse 44;8001;Lausanne;0442217112;0793946715;1951-08-01;Markus.Baumann@gmail.com
Marti;Julia;Ringstrasse 48;5000;Luzern;0447410655;0799536333;1991-04-29;Julia.Marti@mail.com
Brunner;Lena;Wiesenweg 71;9400;Thun;0448630394;0794826697;1957-10-11;Lena.Brunner@mail.com
Lehmann;Laura;Birkenweg 85;8500;Freiburg;0448982813;0792915444;1995-08-26;Laura.Lehmann@gmail.com
Brunner;Felix;Brunnenstrasse 58;4001;Lausanne;0446681362;0799644823;1959-10-10;Felix.Brunner@gmail.com
Schmid;Maria;Ringstrasse 57;6300;Schaffhausen;0449923823;0798742111;1974-04-15;Maria.Schmid@gmail.com
Baumann;Sandra;Feldstrasse 69;4001;Basel;0441025317;0796616369;1990-01-22;Sandra.Baumann@mail.com
Müller;David;Schulstrasse 32;5000;Neuenburg;0448982813;0795668668;1972-11-13;David.Müller@web.de
Müller;Max;Seestrasse 63;3000;Zug;0442376115;0796530765;1979-08-23;Max.Müller@example.com
Gerber;Lukas;Alpenblick 76;9200;Lugano;0449429709;0795109693;1950-06-23;Lukas.Gerber@mail.com
Wenger;Maria;Talstrasse 19;8002;Baden;0442187777;0797740808;1964-09-29;Maria.Wenger@yahoo.com
Lehmann;Laura;Gartenweg 85;3000;Biel;0441814027;0798273907;1992-11-29;Laura.Lehmann@web.de
Steiner;Felix;Sonnenweg 39;8400;Thun;0448350147;0798740150;1951-06-07;Felix.Steiner@example.com
Brunner;Lukas;Dorfstrasse 44;6003;Sitten;0442172365;0793946715;1951-10-11;Lukas.Brunner@mail.com
Zürcher;Laura;Wiesenweg 46;9001;Winterthur;0445259121;0791860658;1994-01-13;Laura.Zürcher@mail.com
Gerber;Simon;Feldstrasse 11;1000;Chur;0449188966;0796415432;1995-11-17;Simon.Gerber@web.de
Steiner;Felix;Gartenweg 44;8050;Zürich;0448030590;0798166505;1959-07-31;Felix.Steiner@yahoo.com
Wenger;David;Poststrasse 17;8002;Thun;0441814027;0794688034;1969-10-03;David.Wenger@yahoo.com
Maurer;Thomas;Rosenweg 24;9001;Winterthur;0446677010;0795160934;1951-12-18;Thomas.Maurer@example.com
Brunner;Markus;Bahnhofstrasse 57;8304;Luzern;0445768979;0794602048;1995-08-26;Markus.Brunner@yahoo.com
Keller;Felix;Talstrasse 18;9300;Neuenburg;0449800670;0796052063;1972-08-19;Felix.Keller@yahoo.com
Meier;Max;Gartenweg 65;4001;Thun;0448537374;0794957977;1998-12-30;Max.Meier@gmail.com
Brunner;Sophie;Lindenweg 22;4001;Basel;0446438065;0797526210;1962-06-26;Sophie.Brunner@gmail.com
Lehmann;Maria;Poststrasse 8;3000;Freiburg;0442187777;0792141573;1982-03-19;Maria.Lehmann@yahoo.com
Maurer;Michaela;Seestrasse 72;8002;Thun;0442376115;0798830298;2000-04-14;Michaela.Maurer@web.de
Keller;Sandra;Wiesenweg 73;6003;Solothurn;0448537374;0798830298;1988-12-23;Sandra.Keller@web.de
Keller;Laura;Wiesenweg 40;8001;Genf;0448982813;0791826680;1981-04-06;Laura.Keller@example.com
Roth;Felix;Bahnhofstrasse 56;9001;Bern;0448030590;0795781113;2000-01-07;Felix.Roth@gmail.com
Keller;Lukas;Ringstrasse 82;9001;Lugano;0448145853;0797788905;1999-09-19;Lukas.Keller@mail.com
Roth;Max;Seestrasse 20;8002;Sitten;0441277545;0797526210;1992-10-26;Max.Roth@yahoo.com
Kunz;Kevin;Alpenblick 46;9001;Zug;0443403090;0798551915;1988-08-28;Kevin.Kunz@web.de
Maurer;Thomas;Alpenblick 23;8304;Biel;0446079100;0795109693;1992-05-27;Thomas.Maurer@example.com
Steiner;Anna;Lindenweg 91;7000;St. Gallen;0446807371;0796649602;1982-07-02;Anna.Steiner@mail.com
Sutter;Lena;Ringstrasse 87;8002;Bern;0449429709;0793478279;1985-10-21;Lena.Sutter@yahoo.com
Huber;Sophie;Bergstrasse 53;9001;Neuenburg;0448482574;0795668668;1957-11-20;Sophie.Huber@mail.com
Bachmann;Julia;Alpenblick 49;6300;Basel;0447657653;0794688034;1979-12-12;Julia.Bachmann@web.de
Marti;Markus;Alpenblick 57;9001;Genf;0444648586;0797729364;1992-02-25;Markus.Marti@yahoo.com
Brunner;Simon;Rosenweg 3;9100;Solothurn;0446247475;0794549941;1954-11-27;Simon.Brunner@web.de
Zürcher;Simon;Sonnenweg 96;9050;Zürich;0442187777;0798830298;1986-06-03;Simon.Zürcher@mail.com
Wenger;Kevin;Bergstrasse 48;8002;Luzern;0444853797;0793739668;1962-01-28;Kevin.Wenger@example.com
Brunner;Simon;Sonnenweg 91;9200;Solothurn;0442986851;0791826680;1988-04-06;Simon.Brunner@web.de
Meier;Julia;Hauptstrasse 13;9400;Solothurn;0441584559;0798027573;1996-08-20;Julia.Meier@gmail.com
Steiner;Kevin;Hauptstrasse 82;8500;Zürich;0441025317;0798742111;1977-05-04;Kevin.Steiner@mail.com
Lehmann;Simon;Ringstrasse 85;6300;Zug;0443804554;0799236745;1962-01-26;Simon.Lehmann@web.de
Gerber;Felix;Seestrasse 63;8304;Bern;0447657653;0793475351;1960-12-07;Felix.Gerber@example.com
Fischer;Julia;Bahnhofstrasse 6;1000;Uster;0445735778;0793501428;1994-08-20;Julia.Fischer@example.com
Lehmann;Michaela;Seestrasse 67;9100;Winterthur;0448590960;0797346559;1970-04-19;Michaela.Lehmann@mail.com
Weber;Sandra;Hauptstrasse 49;9400;Lausanne;0442217112;0794729837;1972-07-31;Sandra.Weber@mail.com
Schmid;Anna;Feldstrasse 94;1000;Sitten;0444295640;0791766783;1990-11-21;Anna.Schmid@mail.com
Zürcher;Katja;Brunnenstrasse 7;8400;Winterthur;0448482574;0792655207;1982-09-12;Katja.Zürcher@gmail.com
Sutter;Simon;Ringstrasse 2;4001;Thun;0442322425;0796087818;1999-12-01;Simon.Sutter@mail.com
Maurer;Lena;Tannenweg 99;9000;Zürich;0448157568;0796290954;1958-01-17;Lena.Maurer@yahoo.com
Marti;Sophie;Poststrasse 97;9050;Solothurn;0448374138;0793397566;1981-09-18;Sophie.Marti@yahoo.com
Marti;Kevin;Tannenweg 75;9400;Winterthur;0444648586;0794549941;1970-01-25;Kevin.Marti@yahoo.com
Marti;Lukas;Sonnenweg 23;8001;Luzern;0448350147;0797788905;1966-03-23;Lukas.Marti@gmail.com
Kunz;Maria;Bahnhofstrasse 26;3000;Sitten;0449429709;0793269976;1950-11-16;Maria.Kunz@example.com
Maurer;Lena;Birkenweg 75;9400;Winterthur;0444853797;0798166505;1958-12-23;Lena.Maurer@gmail.com
Steiner;Simon;Birkenweg 67;9400;Uster;0442172365;0798188691;1961-02-22;Simon.Steiner@web.de
Meier;Michaela;Schulstrasse 48;8500;Biel;0446438065;0793711365;1980-12-15;Michaela.Meier@web.de
Müller;Kevin;Weidstrasse 45;6300;Zürich;0448590960;0791556601;1986-10-18;Kevin.Müller@mail.com
Huber;Nina;Rosenweg 52;8050;Chur;0446681362;0795631305;1956-09-11;Nina.Huber@example.com
Meier;Laura;Schulstrasse 7;6300;Winterthur;0442217112;0795668668;1961-08-02;Laura.Meier@gmail.com
Weber;Simon;Gartenweg 76;6300;Neuenburg;0445104583;0794686845;1957-04-03;Simon.Weber@gmail.com
Sutter;Max;Poststrasse 5;8304;Winterthur;0443352937;0796786311;1991-10-05;Max.Sutter@web.de
Huber;Max;Birkenweg 45;9001;Zug;0446424159;0799473499;1967-04-16;Max.Huber@gmail.com
Baumann;Nina;Ringstrasse 82;1000;Schaffhausen;0446681362;0796415432;1977-02-06;Nina.Baumann@web.de
Lehmann;Max;Poststrasse 75;3000;Zürich;0442144055;0794795028;1977-10-04;Max.Lehmann@mail.com
Meier;Simon;Seestrasse 50;8400;Biel;0447965858;0799473499;1974-07-04;Simon.Meier@gmail.com
Fischer;Michaela;Tannenweg 39;8050;Basel;0446424159;0792655207;1972-09-25;Michaela.Fischer@mail.com
Huber;Peter;Rosenweg 11;8500;Neuenburg;0448374138;0794795028;1966-05-21;Peter.Huber@mail.com
Kunz;Sophie;Talstrasse 89;8002;Basel;0447965858;0799343726;1967-08-06;Sophie.Kunz@web.de
Marti;Michaela;Talstrasse 40;9100;Bern;0444648586;0792169562;1995-09-20;Michaela.Marti@web.de
Wenger;Felix;Wiesenweg 15;9400;Uster;0449656653;0798159871;1951-12-17;Felix.Wenger@yahoo.com
Marti;Lukas;Rosenweg 11;3000;Uster;0449656653;0794549941;1984-02-19;Lukas.Marti@gmail.com
Keller;Markus;Alpenblick 42;9050;Lausanne;0445198625;0797923742;1953-07-09;Markus.Keller@gmail.com
Müller;Laura;Seestrasse 61;3000;Bern;0443669973;0797923742;1955-06-22;Laura.Müller@yahoo.com
Lehmann;Kevin;Weidstrasse 31;9100;Neuenburg;0448982813;0792169562;1966-03-20;Kevin.Lehmann@gmail.com
Kunz;Felix;Birkenweg 45;9400;Basel;0448982813;0791668239;1973-05-16;Felix.Kunz@example.com
Zürcher;Maria;Wiesenweg 24;6300;Solothurn;0449188966;0794012905;1994-05-12;Maria.Zürcher@web.de
Fischer;Julia;Schulstrasse 8;8002;Biel;0448350147;0792655207;1985-07-18;Julia.Fischer@example.com
Brunner;Daniel;Weidstrasse 67;8001;Chur;0445519479;0799536333;1982-12-28;Daniel.Brunner@yahoo.com
Bachmann;Felix;Wiesenweg 76;8400;Schaffhausen;0448145853;0795980038;1981-11-26;Felix.Bachmann@mail.com
Zürcher;Lena;Dorfstrasse 76;5000;Basel;0443824648;0794826697;1961-08-03;Lena.Zürcher@gmail.com
Kunz;Lena;Birkenweg 26;8304;Lugano;0444747021;0795631305;1998-07-02;Lena.Kunz@example.com
Baumann;Felix;Bahnhofstrasse 7;8002;Zug;0442144055;0793543120;1950-09-03;Felix.Baumann@web.de
Baumann;Katja;Seestrasse 54;9400;Zürich;0448591306;0792225391;1972-12-05;Katja.Baumann@web.de
Sutter;Maria;Lindenweg 82;9300;St. Gallen;0445104583;0797526210;1991-03-26;Maria.Sutter@gmail.com
Meier;Thomas;Poststrasse 36;9400;Lausanne;0442217112;0791556601;1996-02-24;Thomas.Meier@web.de
Zürcher;Peter;Alpenblick 12;9200;Lugano;0442376115;0793739668;1963-10-30;Peter.Zürcher@gmail.com
Wenger;Maria;Bergstrasse 61;8001;Zug;0442059596;0794012905;1964-12-24;Maria.Wenger@web.de
Zürcher;Laura;Bahnhofstrasse 51;9300;Basel;0442118266;0791826680;1970-12-15;Laura.Zürcher@yahoo.com
Marti;Julia;Lindenweg 68;9200;Luzern;0443669973;0797346559;1956-01-30;Julia.Marti@gmail.com
Roth;Peter;Weidstrasse 60;1000;Solothurn;0443005313;0791954558;1976-07-03;Peter.Roth@example.com
Gerber;Julia;Schulstrasse 82;5000;Uster;0447975858;0794552384;1979-08-19;Julia.Gerber@web.de
Meier;Katja;Brunnenstrasse 5;9300;Lausanne;0443005327;0797540509;1973-06-25;Katja.Meier@mail.com
Weber;Lena;Weidstrasse 94;9001;Genf;0449188966;0792915444;1995-11-15;Lena.Weber@mail.com
Wenger;Anna;Seestrasse 74;8500;Winterthur;0443005313;0795781113;1962-10-03;Anna.Wenger@mail.com
Huber;Laura;Brunnenstrasse 53;8001;Sitten;0443352937;0796112895;1959-01-25;Laura.Huber@web.de
Huber;Anna;Bergstrasse 19;8002;Freiburg;0442441713;0797540509;1952-04-02;Anna.Huber@web.de
Kunz;Daniel;Rosenweg 34;3000;Biel;0443669973;0793840613;1963-05-17;Daniel.Kunz@yahoo.com
Bachmann;Julia;Tannenweg 59;9200;Baden;0448350147;0798166505;1950-03-07;Julia.Bachmann@yahoo.com
Maurer;Thomas;Wiesenweg 30;8500;Sitten;0442066085;0799644823;1953-02-12;Thomas.Maurer@example.com
Zürcher;Anna;Schulstrasse 29;9001;Basel;0443005313;0799535881;1972-05-19;Anna.Zürcher@yahoo.com
Baumann;Katja;Birkenweg 18;9050;Winterthur;0446079100;0796415432;1987-02-26;Katja.Baumann@yahoo.com
Baumann;Nina;Poststrasse 29;9300;Chur;0443352937;0792225391;1962-11-24;Nina.Baumann@gmail.com
Kunz;Thomas;Gartenweg 46;8500;Freiburg;0448094381;0795354193;1951-07-20;Thomas.Kunz@gmail.com
Maurer;Sandra;Bergstrasse 69;4001;Zug;0447704715;0794795028;1971-09-29;Sandra.Maurer@gmail.com
Gerber;Lukas;Ringstrasse 96;4001;Zürich;0446681362;0798273907;1960-12-28;Lukas.Gerber@mail.com
Steiner;Maria;Wiesenweg 90;8002;Solothurn;0449833678;0796649602;1961-12-07;Maria.Steiner@gmail.com
Weber;Nina;Tannenweg 60;6003;Neuenburg;0442265256;0795668668;1966-09-13;Nina.Weber@web.de
Weber;Kevin;Talstrasse 55;9050;Sitten;0448094381;0793269976;1974-07-22;Kevin.Weber@gmail.com
Maurer;Kevin;Birkenweg 95;3000;Lausanne;0449833678;0793711365;1950-12-01;Kevin.Maurer@example.com
Müller;David;Birkenweg 71;8050;Bern;0443414722;0796131401;1989-05-05;David.Müller@web.de
Sutter;Lukas;Dorfstrasse 2;9300;Genf;0449153046;0791860658;1977-12-04;Lukas.Sutter@web.de
Gerber;Maria;Gartenweg 99;1000;Sitten;0448590960;0798273907;1965-02-26;Maria.Gerber@yahoo.com
Kunz;Anna;Bergstrasse 59;8050;Genf;0441578655;0795354193;1963-01-01;Anna.Kunz@web.de
Brunner;Felix;Ringstrasse 59;1000;Lugano;0442144055;0795109693;1963-01-29;Felix.Brunner@mail.com
Bachmann;Max;Poststrasse 20;9400;Freiburg;0447704715;0798841134;1962-03-28;Max.Bachmann@gmail.com
Maurer;Markus;Schulstrasse 89;5000;Genf;0441849975;0791954558;1993-06-26;Markus.Maurer@yahoo.com
Roth;Sophie;Seestrasse 35;8002;Bern;0442265256;0792680798;1952-05-19;Sophie.Roth@example.com
Gerber;Kevin;Talstrasse 96;8304;Baden;0449800670;0798369565;1954-11-03;Kevin.Gerber@mail.com
Fischer;Max;Brunnenstrasse 31;8050;St. Gallen;0449789370;0795114420;1967-05-21;Max.Fischer@gmail.com
Weber;Felix;Feldstrasse 32;8500;Freiburg;0446958130;0799644823;1973-01-12;Felix.Weber@example.com
Roth;Felix;Tannenweg 40;3000;Thun;0445768979;0798273907;1967-04-17;Felix.Roth@web.de
Kunz;Lukas;Schulstrasse 10;8304;Schaffhausen;0441025317;0798188691;1971-09-15;Lukas.Kunz@example.com
Bachmann;Maria;Lindenweg 81;8002;Solothurn;0443403090;0798159871;1997-11-11;Maria.Bachmann@yahoo.com
